Size,Orien,Match,Probe,Target,correct_response
L,V,N,The big refrigerator laid on the bed of the pickup truck,STI_EXP02/LARGE/refrigerator_V.jpg,j
L,V,N,The gate arms were down when the car was investigated.,STI_EXP02/LARGE/gate_arms_V.jpg,j
L,H,Y,The airplane was flying above the clouds.,STI_EXP02/LARGE/aeroplane_H.jpg,j
L,H,Y,The upright piano was laid in the truck.,STI_EXP02/LARGE/Uprightpiano_H.jpg,j
L,H,Y,The rocket was transferred to the launch pad.,STI_EXP02/LARGE/rocket_H.jpg,j
L,H,Y,The wrecking ball gained maximal altitude.,STI_EXP02/LARGE/wreckingball_H.jpg,j
L,H,Y,The street lantern was being transported.,STI_EXP02/LARGE/streetlantern_H.jpg,j
L,H,Y,The steel barrel was rolled onto the truck.,STI_EXP02/LARGE/steelbarrel_H.jpg,j
L,H,Y,The pig carcass was on the table.,STI_EXP02/LARGE/pig_H.jpg,j
L,H,Y,The dump truck carried the sand.,STI_EXP02/LARGE/dump_truck_V.JPG,j
S,H,N,The matchstick was grabbed by my fingers.,STI_EXP02/SMALL/007-allumette_match.jpg,j
S,H,N,The cane was hold by the elder.,STI_EXP02/SMALL/066-canne_cane.jpg,j
S,H,N,The tube was in the rack.,STI_EXP02/SMALL/126-eprouvette_test-tube.jpg,j
S,H,N,The flower pot stood in front of the door.,STI_EXP02/SMALL/242-pot_jar.jpg,j
S,H,N,The bowling pin stood on the end of the lane.,STI_EXP02/SMALL/248-quille_skittle.jpg,j
S,H,N,The key chain was on the wall.,STI_EXP02/SMALL/keychain.jpg,j
S,H,N,The tree branch was plugged into the soil.,STI_EXP02/SMALL/branch02.jpg,j
S,H,N,The candy cane was in the Christmas tree.,STI_EXP02/SMALL/candycane01a.jpg,j
S,V,Y,The carrot was just plucked by the farmer.,STI_EXP02/SMALL/carrot01_r.jpg,j
S,V,Y,The leek was to be washed.,STI_EXP02/SMALL/leek_r.jpg,j
S,V,Y,The daisy was plucked by the tourist.,STI_EXP02/SMALL/daisy_r.jpg,j
S,V,Y,The dust pan was hanged on the wall.,STI_EXP02/SMALL/dustpan_r.jpg,j
S,V,Y,The fishing rod was beside the angler's seat.,STI_EXP02/SMALL/fishingrod_r.jpg,j
S,V,Y,The spoon was placed in the right of the plate.,STI_EXP02/SMALL/spoon_V.jpg,j
S,V,Y,The funnel was being used by the chef.,STI_EXP02/SMALL/funnel_r.jpg,j
S,V,Y,The ointment was used on the patient’s eye.,STI_EXP02/SMALL/gluetube_r.jpg,j
S,V,N,The hat was on the model's head.,STI_EXP02/SMALL/hat_r.jpg,j
S,V,N,The toothbrush was on the washbasin.,STI_EXP02/SMALL/toothbrush_V.jpg,j
S,V,N,The bottle was placed in the wine rack.,STI_EXP02/SMALL/beerbottle_r.jpg,j
S,V,N,The key chain was on the living room table.,STI_EXP02/SMALL/keychain_r.jpg,j
S,V,N,The corn husk had fallen on the ground.,STI_EXP02/SMALL/cornhusk_r.jpg,j
S,V,N,The ice cream scoop was left on the cabinet.,STI_EXP02/SMALL/measuringspoon_r.jpg,j
S,V,N,The glove was on the car seat.,STI_EXP02/SMALL/glove_V.jpg,j
S,V,N,The nail was at the bottom of the toolbox.,STI_EXP02/SMALL/nail_r.jpg,j
S,H,Y,The photo frame was in the drawer.,STI_EXP02/SMALL/pictureframe04.jpg,j
S,H,Y,The razor was on the washstand.,STI_EXP02/SMALL/razor01.jpg,j
S,H,Y,The screwdriver was on the work bench.,STI_EXP02/SMALL/screwdriver04b.jpg,j
S,H,Y,The sea shell was found on the beach.,STI_EXP02/SMALL/seashell01.jpg,j
S,H,Y,The shoe was left by the front door.,STI_EXP02/SMALL/shoe.jpg,j
S,H,Y,The stapler was on the staff's desk.,STI_EXP02/SMALL/stapler03a.jpg,j
S,H,Y,The buffet tongs were in the drawer.,STI_EXP02/SMALL/tongs01b.jpg,j
S,H,Y,The plastic bottle lied in the refrigerator.,STI_EXP02/SMALL/waterbottle01b.jpg,j
F,F,F,The cloth was in the wardrobe.,STI_EXP02/Filler/020-baignoire_bathtub.jpg,f
F,F,F,The giant refinery was beside the road.,STI_EXP02/Filler/ironbarrel.jpg,f
F,F,F,The film was in the camera.,STI_EXP02/Filler/025-barre_bar.jpg,f
F,F,F,The capsule was on the table.,STI_EXP02/Filler/027-batterie_drum-set.jpg,f
F,F,F,The sew was in the toolbox.,STI_EXP02/Filler/034-biberon_feeding-bottle.jpg,f
F,F,F,The hamburger was in the plate.,STI_EXP02/Filler/035-bibliotheque_book-shelves.jpg,f
F,F,F,The candle stood on the dinner table.,STI_EXP02/Filler/041-bonbon_candy.jpg,f
F,F,F,The cassette was in the recorder.,STI_EXP02/Filler/071-bateau_boat.jpg,f
F,F,F,The apple was on the table.,STI_EXP02/Filler/075-carte_playing-card.jpg,f
F,F,F,The earring was beside the box.,STI_EXP02/Filler/078-cassette_cassette.jpg,f
F,F,F,The rice was in the farm.,STI_EXP02/Filler/089-chronometre_stop-watch.jpg,f
F,F,F,The lifebuoy was on the deck.,STI_EXP02/Filler/093-chapiteau_big-top.jpg,f
F,F,F,The train was driving down the track.,STI_EXP02/Filler/156-hot-dog_hot-dog.jpg,f
F,F,F,The battleship was navigating in the sea.,STI_EXP02/Filler/166-klaxon_horn.jpg,f
F,F,F,The bed was in the room.,STI_EXP02/Filler/240-pont_bridge.jpg,f
F,F,F,The airplane was driving through the runway.,STI_EXP02/Filler/260-sapin_fir-tree.jpg,f
F,F,F,The police car was driving down the road.,STI_EXP02/Filler/282-tractopelle_digger.jpg,f
F,F,F,The raft was moving to the pier.,STI_EXP02/Filler/293-usine_factory.jpg,f
F,F,F,The cow was living in the farm.,STI_EXP02/Filler/294-ventilateur_fan.jpg,f
F,F,F,The church was beside the square.,STI_EXP02/Filler/airhockeytable.jpg,f
F,F,F,The cabin was in the forest.,STI_EXP02/Filler/barn.jpg,f
F,F,F,The warship was sailing to the harbor.,STI_EXP02/Filler/boxtrailer.jpg,f
F,F,F,The electric locomotive was driving through the tunnel.,STI_EXP02/Filler/briefcaseclosed.jpg,f
F,F,F,The coop was in the garden.,STI_EXP02/Filler/candle08b.jpg,f
F,F,F,The tent was on the ground.,STI_EXP02/Filler/castle.jpg,f
F,F,F,The SUV was running on the road.,STI_EXP02/Filler/castletower.jpg,f
F,F,F,The ambulance was running on the road.,STI_EXP02/Filler/chair.jpg,f
F,F,F,The dryer was in the bathroom.,STI_EXP02/Filler/church.jpg,f
F,F,F,The truck was in the factory,STI_EXP02/Filler/cooler01.jpg,f
F,F,F,The hangar was beside the air plane.,STI_EXP02/Filler/cow.jpg,f
F,F,F,The lighthouse was in the entrance of the harbor.,STI_EXP02/Filler/submarine.jpg,f
F,F,F,The table lamp was in the shop.,STI_EXP02/Filler/dentalfloss03b.jpg,f
F,F,F,The castle was on the hill.,STI_EXP02/Filler/desk02.jpg,f
F,F,F,The cargo ship was navigating to the harbor.,STI_EXP02/Filler/dryingmachine02.jpg,f
F,F,F,The motorcycle was in the parking lot.,STI_EXP02/Filler/earring01.jpg,f
F,F,F,The ball was on the billiard table.,STI_EXP02/Filler/faucet.jpg,f
F,F,F,The calculator was on the desk.,STI_EXP02/Filler/ferry.jpg,f
F,F,F,The Swiss army knife was on the table.,STI_EXP02/Filler/filmroll.jpg,f
F,F,F,The alarm clock was on the bed.,STI_EXP02/Filler/flower.jpg,f
F,F,F,The flashlight was in the suitcase.,STI_EXP02/Filler/freighttruck.jpg,f
F,F,F,The Rubik's Cube was on the shelf.,STI_EXP02/Filler/microwave.jpg,f
F,F,F,The computer monitor was on the desk.,STI_EXP02/Filler/fryingpan02a.jpg,f
F,F,F,The dartboard was on the wall.,STI_EXP02/Filler/hangar.jpg,f
F,F,F,The cup was on the kitchen table.,STI_EXP02/Filler/kiwi03.jpg,f
F,F,F,The shrimp was in the aquarium.,STI_EXP02/Filler/laptopopen.jpg,f
F,F,F,The tooth was in the iron dish.,STI_EXP02/Filler/lighthouse.jpg,f
F,F,F,The telephone was on the short table.,STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg,f
F,F,F,The folder was on the shelf.,STI_EXP02/Filler/pillow.jpg,f
F,F,F,The balloon was in the kid's hand.,STI_EXP02/Filler/pill.jpg,f
F,F,F,The lamp was on the wall.,STI_EXP02/Filler/ribbon04.jpg,f
F,F,F,The basketball hoop was beside the field.,STI_EXP02/Filler/rubikcube.jpg,f
F,F,F,The book shelf was in the room.,STI_EXP02/Filler/sailboat.jpg,f
F,F,F,The fan was settled under the ceiling.,STI_EXP02/Filler/scrubbingbrush05b.jpg,f
F,F,F,The chair was in the office.,STI_EXP02/Filler/solderingiron.jpg,f
F,F,F,The printer was in the right of the table.,STI_EXP02/Filler/spatula04.jpg,f
F,F,F,The table tennis was in the room.,STI_EXP02/Filler/staple.jpg,f
F,F,F,The dog house was beside the door.,STI_EXP02/Filler/strap.jpg,f
F,F,F,The umbrella was on the beach.,STI_EXP02/Filler/tv.jpg,f
F,F,F,The cabbage was in the shelf.,STI_EXP02/Filler/umbrellaopen.jpg,f
F,F,F,The hammer was on the desk table.,STI_EXP02/Filler/uprightpiano01.jpg,f
F,F,F,The toy dinosaur stood on the table.,STI_EXP02/Filler/usbkey.jpg,f
F,F,F,The playing card was in the hand of the magician.,STI_EXP02/Filler/weight01.jpg,f
F,F,F,The stopping watch was in the hand of the coach.,STI_EXP02/Filler/wheel01.jpg,f
F,F,F,The trash can was on the side way.,STI_EXP02/Filler/woodboard.jpg,f
